Surah,Ayah,Text,Label
2,59,"But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven, for that they infringed (Our command) repeatedly.","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts']"
2,60,"And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah, and do no evil nor mischief on the (face of the) earth.","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts', 'people_of_the_book']"
2,61,"And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, Its garlic, lentils, and onions."" He said: ""Will ye exchange the better for the worse? Go ye down to any town, and ye shall find what ye want!"" They were covered with humiliation and misery; they drew on themselves the wrath of Allah. This because they went on rejecting the Signs of Allah and slaying His Messengers without just cause. This because they rebelled and went on transgressing.","['pillars_of_faith', 'forbiden_acts', 'creation_and_creatures']"
2,62,"Those who believe (in the Qur'an), and those who follow the Jewish (scriptures), and the Christians and the Sabians,- any who believe in Allah and the Last Day, and work righteousness, shall have their reward with their Lord; on them shall be no fear, nor shall they grieve.","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,63,"And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""","['muslim_ethic', 'people_of_the_book']"
2,65,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book', 'creation_and_creatures']"
2,66,"So We made it an example to their own time and to their posterity, and a lesson to those who fear Allah.",['muslim_ethic']
2,70,"They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance, if Allah wills.""","['pillars_of_faith', 'creation_and_creatures']"
2,71,"He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice, but not with good-will.",['creation_and_creatures']
2,72,Remember ye slew a man and fell into a dispute among yourselves as to the crime: But Allah was to bring forth what ye did hide.,"['pillars_of_faith', 'people_of_the_book']"
2,73,"So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand.",['pillars_of_faith']
2,74,Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do.,"['pillars_of_faith', 'muslim_ethic', 'science_in_the_quran']"
2,75,"Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah, and perverted it knowingly after they understood it.","['forbiden_acts', 'people_of_the_book']"
2,77,Know they not that Allah knoweth what they conceal and what they reveal?,['pillars_of_faith']
2,78,"And there are among them illiterates, who know not the Book, but (see therein their own) desires, and they do nothing but conjecture.","['forbiden_acts', 'science_in_the_quran']"
2,79,"Then woe to those who write the Book with their own hands, and then say:""This is from Allah,"" to traffic with it for miserable price!- Woe to them for what their hands do write, and for the gain they make thereby.","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book']"
2,80,"And they say: ""The Fire shall not touch us but for a few numbered days:"" Say: ""Have ye taken a promise from Allah, for He never breaks His promise? or is it that ye say of Allah what ye do not know?""","['pillars_of_faith', 'forbiden_acts']"
2,81,"Nay, those who seek gain in evil, and are girt round by their sins,- they are companions of the Fire: Therein shall they abide (For ever).","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book']"
2,82,"But those who have faith and work righteousness, they are companions of the Garden: Therein shall they abide (For ever).","['pillars_of_faith', 'muslim_ethic']"
2,83,"And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred, and orphans and those in need; speak fair to the people; be steadfast in prayer; and practise regular charity. Then did ye turn back, except a few among you, and ye backslide (even now).","['mandatory_acts', 'muslim_ethic', 'forbiden_acts', 'foundations_of_the_laws']"
2,84,"And remember We took your covenant (to this effect): Shed no blood amongst you, nor turn out your own people from your homes: and this ye solemnly ratified, and to this ye can bear witness.","['forbiden_acts', 'people_of_the_book']"
2,85,"After this it is ye, the same people, who slay among yourselves, and banish a party of you from their homes; assist (Their enemies) against them, in guilt and rancour; and if they come to you as captives, ye ransom them, though it was not lawful for you to banish them. Then is it only a part of the Book that ye believe in, and do ye reject the rest? but what is the reward for those among you who behave like this but disgrace in this life?- and on the Day of Judgment they shall be consigned to the most grievous penalty. For Allah is not unmindful of what ye do.","['pillars_of_faith', 'forbiden_acts']"
2,86,These are the people who buy the life of this world at the price of the Hereafter: their penalty shall not be lightened nor shall they be helped.,"['pillars_of_faith', 'forbiden_acts']"
2,87,"We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not, ye are puffed up with pride?- Some ye called impostors, and others ye slay!","['pillars_of_faith', 'mandatory_acts', 'forbiden_acts']"
2,89,"And when there comes to them a Book from Allah, confirming what is with them,- although from of old they had prayed for victory against those without Faith,- when there comes to them that which they (should) have recognised, they refuse to believe in it but the curse of Allah is on those without Faith.","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts', 'people_of_the_book']"
2,90,"Miserable is the price for which they have sold their souls, in that they deny (the revelation) which Allah has sent down, in insolent envy that Allah of His Grace should send it to any of His servants He pleases: Thus have they drawn on themselves Wrath upon Wrath. And humiliating is the punishment of those who reject Faith.","['pillars_of_faith', 'forbiden_acts']"
2,91,"When it is said to them, ""Believe in what Allah Hath sent down, ""they say, ""We believe in what was sent down to us:"" yet they reject all besides, even if it be Truth confirming what is with them. Say: ""Why then have ye slain the prophets of Allah in times gone by, if ye did indeed believe?""","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts', 'people_of_the_book']"
2,92,"There came to you Moses with clear (Signs); yet ye worshipped the calf (Even) after that, and ye did behave wrongfully.","['pillars_of_faith', 'forbiden_acts']"
2,93,"And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you, and hearken (to the Law)"": They said:"" We hear, and we disobey:"" And they had to drink into their hearts (of the taint) of the calf because of their Faithlessness. Say: ""Vile indeed are the behests of your Faith if ye have any faith!""","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book']"
2,94,"Say: ""If the last Home, with Allah, be for you specially, and not for anyone else, then seek ye for death, if ye are sincere.""","['pillars_of_faith', 'muslim_ethic']"
2,95,"But they will never seek for death, on account of the (sins) which their hands have sent on before them. and Allah is well-acquainted with the wrong-doers.","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book']"
2,96,"Thou wilt indeed find them, of all people, most greedy of life,-even more than the idolaters: Each one of them wishes He could be given a life of a thousand years: But the grant of such life will not save him from (due) punishment. For Allah sees well all that they do.",['pillars_of_faith']
2,97,"Say: Whoever is an enemy to Gabriel-for he brings down the (revelation) to thy heart by Allah's will, a confirmation of what went before, and guidance and glad tidings for those who believe,-","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,98,"Whoever is an enemy to Allah and His angels and messengers, to Gabriel and Michael,- Lo! Allah is an enemy to those who reject Faith.","['pillars_of_faith', 'mandatory_acts', 'forbiden_acts']"
2,99,We have sent down to thee Manifest Signs (ayat); and none reject them but those who are perverse.,"['pillars_of_faith', 'forbiden_acts']"
2,100,"Is it not (the case) that every time they make a covenant, some party among them throw it aside?- Nay, Most of them are faithless.","['pillars_of_faith', 'forbiden_acts', 'foundations_of_the_laws', 'people_of_the_book']"
2,101,"And when there came to them a messenger from Allah, confirming what was with them, a party of the people of the Book threw away the Book of Allah behind their backs, as if (it had been something) they did not know!","['pillars_of_faith', 'muslim_ethic']"
2,102,"They followed what the evil ones gave out (falsely) against the power of Solomon: the blasphemers Were, not Solomon, but the evil ones, teaching men Magic, and such things as came down at babylon to the angels Harut and Marut. But neither of these taught anyone (Such things) without saying: ""We are only for trial; so do not blaspheme."" They learned from them the means to sow discord between man and wife. But they could not thus harm anyone except by Allah's permission. And they learned what harmed them, not what profited them. And they knew that the buyers of (magic) would have no share in the happiness of the Hereafter. And vile was the price for which they did sell their souls, if they but knew!","['pillars_of_faith', 'forbiden_acts', 'creation_and_creatures']"
2,103,"If they had kept their Faith and guarded themselves from evil, far better had been the reward from their Lord, if they but knew!","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,104,"O ye of Faith! Say not (to the Messenger) words of ambiguous import, but words of respect; and hearken (to him): To those without Faith is a grievous punishment.","['muslim_ethic', 'forbiden_acts', 'people_of_the_book']"
2,105,"It is never the wish of those without Faith among the People of the Book, nor of the Pagans, that anything good should come down to you from your Lord. But Allah will choose for His special Mercy whom He will - for Allah is Lord of grace abounding.",['pillars_of_faith']
2,107,Knowest thou not that to Allah belongeth the dominion of the heavens and the earth? And besides Him ye have neither patron nor helper.,['pillars_of_faith']
2,108,"Would ye question your Messenger as Moses was questioned of old? but whoever changeth from Faith to Unbelief, Hath strayed without doubt from the even way.","['pillars_of_faith', 'forbiden_acts']"
2,109,"Quite a number of the People of the Book wish they could Turn you (people) back to infidelity after ye have believed, from selfish envy, after the Truth hath become Manifest unto them: But forgive and overlook, Till Allah accomplish His purpose; for Allah Hath power over all things.","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,110,"And be steadfast in prayer and regular in charity: And whatever good ye send forth for your souls before you, ye shall find it with Allah: for Allah sees Well all that ye do.","['pillars_of_faith', 'mandatory_acts', 'muslim_ethic']"
2,111,"And they say: ""None shall enter Paradise unless he be a Jew or a Christian."" Those are their (vain) desires. Say: ""Produce your proof if ye are truthful.""","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts', 'people_of_the_book']"
2,112,"Nay,-whoever submits His whole self to Allah and is a doer of good,- He will get his reward with his Lord; on such shall be no fear, nor shall they grieve.","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,113,"The Jews say: ""The Christians have naught (to stand) upon; and the Christians say: ""The Jews have naught (To stand) upon."" Yet they (Profess to) study the (same) Book. Like unto their word is what those say who know not; but Allah will judge between them in their quarrel on the Day of Judgment.","['pillars_of_faith', 'forbiden_acts']"
2,114,"And who is more unjust than he who forbids that in places for the worship of Allah, Allah's name should be celebrated?-whose zeal is (in fact) to ruin them? It was not fitting that such should themselves enter them except in fear. For them there is nothing but disgrace in this world, and in the world to come, an exceeding torment.","['pillars_of_faith', 'mandatory_acts', 'forbiden_acts']"
2,115,"To Allah belong the east and the West: Whithersoever ye turn, there is the presence of Allah. For Allah is all-Pervading, all-Knowing.",['pillars_of_faith']
2,116,"They say: ""Allah hath begotten a son"": Glory be to Him.-Nay, to Him belongs all that is in the heavens and on earth: everything renders worship to Him.","['forbiden_acts', 'people_of_the_book']"
2,117,"To Him is due the primal origin of the heavens and the earth: When He decreeth a matter, He saith to it: ""Be,"" and it is.","['pillars_of_faith', 'creation_and_creatures']"
2,118,"Say those without knowledge: ""Why speaketh not Allah unto us? or why cometh not unto us a Sign?"" So said the people before them words of similar import. Their hearts are alike. We have indeed made clear the Signs unto any people who hold firmly to Faith (in their hearts).",['science_in_the_quran']
2,119,Verily We have sent thee in truth as a bearer of glad tidings and a warner: But of thee no question shall be asked of the Companions of the Blazing Fire.,['pillars_of_faith']
2,120,"Never will the Jews or the Christians be satisfied with thee unless thou follow their form of religion. Say: ""The Guidance of Allah,-that is the (only) Guidance."" Wert thou to follow their desires after the knowledge which hath reached thee, then wouldst thou find neither Protector nor helper against Allah.","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book', 'science_in_the_quran']"
2,121,"Those to whom We have sent the Book study it as it should be studied: They are the ones that believe therein: Those who reject faith therein,- the loss is their own.","['pillars_of_faith', 'forbiden_acts']"
2,122,"O Children of Israel! call to mind the special favour which I bestowed upon you, and that I preferred you to all others (for My Message).","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,123,"Then guard yourselves against a Day when one soul shall not avail another, nor shall compensation be accepted from her nor shall intercession profit her nor shall anyone be helped (from outside).","['pillars_of_faith', 'muslim_ethic']"
2,124,"And remember that Abraham was tried by his Lord with certain commands, which he fulfilled: He said: ""I will make thee an Imam to the Nations."" He pleaded: ""And also (Imams) from my offspring!"" He answered: ""But My Promise is not within the reach of evil-doers.""",['forbiden_acts']
2,125,"Remember We made the House a place of assembly for men and a place of safety; and take ye the station of Abraham as a place of prayer; and We covenanted with Abraham and Isma'il, that they should sanctify My House for those who compass it round, or use it as a retreat, or bow, or prostrate themselves (therein in prayer).","['pillars_of_faith', 'mandatory_acts']"
2,126,"And remember Abraham said: ""My Lord, make this a City of Peace, and feed its people with fruits,-such of them as believe in Allah and the Last Day."" He said: ""(Yea), and such as reject Faith,-for a while will I grant them their pleasure, but will soon drive them to the torment of Fire,- an evil destination (indeed)!""","['pillars_of_faith', 'forbiden_acts', 'makkah']"
2,128,"""Our Lord! make of us Muslims, bowing to Thy (Will), and of our progeny a people Muslim, bowing to Thy (will); and show us our place for the celebration of (due) rites; and turn unto us (in Mercy); for Thou art the Oft-Returning, Most Merciful.","['pillars_of_faith', 'mandatory_acts', 'invocations_in_the_quran']"
2,129,"""Our Lord! send amongst them a Messenger of their own, who shall rehearse Thy Signs to them and instruct them in scripture and wisdom, and sanctify them: For Thou art the Exalted in Might, the Wise.""",['science_in_the_quran']
2,131,"Behold! his Lord said to him: ""Bow (thy will to Me):"" He said: ""I bow (my will) to the Lord and Cherisher of the Universe.""",['pillars_of_faith']
2,132,"And this was the legacy that Abraham left to his sons, and so did Jacob; ""Oh my sons! Allah hath chosen the Faith for you; then die not except in the Faith of Islam.""",['pillars_of_faith']
2,133,"Were ye witnesses when death appeared before Jacob? Behold, he said to his sons: ""What will ye worship after me?"" They said: ""We shall worship Thy god and the god of thy fathers, of Abraham, Isma'il and Isaac,- the one (True) Allah: To Him we bow (in Islam).""",['pillars_of_faith']
2,134,"That was a people that hath passed away. They shall reap the fruit of what they did, and ye of what ye do! Of their merits there is no question in your case!","['pillars_of_faith', 'foundations_of_the_laws']"
2,135,"They say: ""Become Jews or Christians if ye would be guided (To salvation)."" Say thou: ""Nay! (I would rather) the Religion of Abraham the True, and he joined not gods with Allah.""","['pillars_of_faith', 'forbiden_acts', 'people_of_the_book']"
2,136,"Say ye: ""We believe in Allah, and the revelation given to us, and to Abraham, Isma'il, Isaac, Jacob, and the Tribes, and that given to Moses and Jesus, and that given to (all) prophets from their Lord: We make no difference between one and another of them: And we bow to Allah (in Islam).""",['pillars_of_faith']
2,137,"So if they believe as ye believe, they are indeed on the right path; but if they turn back, it is they who are in schism; but Allah will suffice thee as against them, and He is the All-Hearing, the All-Knowing.","['pillars_of_faith', 'people_of_the_book']"
2,138,(Our religion is) the Baptism of Allah: And who can baptize better than Allah? And it is He Whom we worship.,['pillars_of_faith']
2,139,"Say: Will ye dispute with us about Allah, seeing that He is our Lord and your Lord; that we are responsible for our doings and ye for yours; and that We are sincere (in our faith) in Him?","['pillars_of_faith', 'people_of_the_book']"
2,140,"Or do ye say that Abraham, Isma'il Isaac, Jacob and the Tribes were Jews or Christians? Say: Do ye know better than Allah? Ah! who is more unjust than those who conceal the testimony they have from Allah? but Allah is not unmindful of what ye do!","['pillars_of_faith', 'forbiden_acts', 'foundations_of_the_laws', 'people_of_the_book']"
2,141,"That was a people that hath passed away. They shall reap the fruit of what they did, and ye of what ye do! Of their merits there is no question in your case:","['pillars_of_faith', 'foundations_of_the_laws']"
2,142,"The fools among the people will say: ""What hath turned them from the Qibla to which they were used?"" Say: To Allah belong both east and West: He guideth whom He will to a Way that is straight.",['pillars_of_faith']
2,143,"Thus, have We made of you an Ummat justly balanced, that ye might be witnesses over the nations, and the Messenger a witness over yourselves; and We appointed the Qibla to which thou wast used, only to test those who followed the Messenger from those who would turn on their heels (From the Faith). Indeed it was (A change) momentous, except to those guided by Allah. And never would Allah Make your faith of no effect. For Allah is to all people Most surely full of kindness, Most Merciful.","['pillars_of_faith', 'forbiden_acts', 'foundations_of_the_laws']"
2,144,"We see the turning of thy face (for guidance to the heavens: now Shall We turn thee to a Qibla that shall please thee. Turn then Thy face in the direction of the sacred Mosque: Wherever ye are, turn your faces in that direction. The people of the Book know well that that is the truth from their Lord. Nor is Allah unmindful of what they do.","['pillars_of_faith', 'makkah']"
2,145,"Even if thou wert to bring to the people of the Book all the Signs (together), they would not follow Thy Qibla; nor art thou going to follow their Qibla; nor indeed will they follow each other's Qibla. If thou after the knowledge hath reached thee, Wert to follow their (vain) desires,-then wert thou Indeed (clearly) in the wrong.","['forbiden_acts', 'science_in_the_quran']"
2,146,The people of the Book know this as they know their own sons; but some of them conceal the truth which they themselves know.,"['pillars_of_faith', 'forbiden_acts', 'foundations_of_the_laws']"
2,147,The Truth is from thy Lord; so be not at all in doubt.,"['forbiden_acts', 'people_of_the_book']"
2,148,"To each is a goal to which Allah turns him; then strive together (as in a race) Towards all that is good. Wheresoever ye are, Allah will bring you Together. For Allah Hath power over all things.",['pillars_of_faith']
2,149,"From whencesoever Thou startest forth, turn Thy face in the direction of the sacred Mosque; that is indeed the truth from the Lord. And Allah is not unmindful of what ye do.","['pillars_of_faith', 'mandatory_acts', 'makkah']"
2,150,"So from whencesoever Thou startest forth, turn Thy face in the direction of the sacred Mosque; and wheresoever ye are, Turn your face thither: that there be no ground of dispute against you among the people, except those of them that are bent on wickedness; so fear them not, but fear Me; and that I may complete My favours on you, and ye May (consent to) be guided;","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts']"
2,151,"A similar (favour have ye already received) in that We have sent among you a Messenger of your own, rehearsing to you Our Signs, and sanctifying you, and instructing you in Scripture and Wisdom, and in new knowledge.","['pillars_of_faith', 'science_in_the_quran']"
2,152,"Then do ye remember Me; I will remember you. Be grateful to Me, and reject not Faith.","['muslim_ethic', 'forbiden_acts']"
2,153,O ye who believe! seek help with patient perseverance and prayer; for Allah is with those who patiently persevere.,"['mandatory_acts', 'muslim_ethic']"
2,154,"And say not of those who are slain in the way of Allah: ""They are dead."" Nay, they are living, though ye perceive (it) not.","['pillars_of_faith', 'mandatory_acts', 'muslim_ethic', 'forbiden_acts']"
2,155,"Be sure we shall test you with something of fear and hunger, some loss in goods or lives or the fruits (of your toil), but give glad tidings to those who patiently persevere,",['pillars_of_faith']
2,156,"Who say, when afflicted with calamity: ""To Allah We belong, and to Him is our return"":-","['pillars_of_faith', 'muslim_ethic']"
2,158,"Behold! Safa and Marwa are among the Symbols of Allah. So if those who visit the House in the Season or at other times, should compass them round, it is no sin in them. And if any one obeyeth his own impulse to good,- be sure that Allah is He Who recogniseth and knoweth.","['mandatory_acts', 'makkah']"
2,159,"Those who conceal the clear (Signs) We have sent down, and the Guidance, after We have made it clear for the people in the Book,-on them shall be Allah's curse, and the curse of those entitled to curse,-","['pillars_of_faith', 'mandatory_acts', 'forbiden_acts', 'people_of_the_book']"
2,161,"Those who reject Faith, and die rejecting,- on them is Allah's curse, and the curse of angels, and of all mankind;","['pillars_of_faith', 'forbiden_acts']"
